ticker,name,isin,exchange,sector,industry,market_data_ticker,country,universe
KFINTECH,Kfin Technologies Limited,INE138Y01010,NSE,Unclassified,Unclassified,KFINTECH.NS,IN,NSE_MAINBOARD
KHADIM,Khadim India Limited,INE834I01025,NSE,Unclassified,Unclassified,KHADIM.NS,IN,NSE_MAINBOARD
KHAICHEM,Khaitan Chemicals & Fertilizers Limited,INE745B01028,NSE,Unclassified,Unclassified,KHAICHEM.NS,IN,NSE_MAINBOARD
KHAITANLTD,Khaitan (India) Limited,INE731C01018,NSE,Unclassified,Unclassified,KHAITANLTD.NS,IN,NSE_MAINBOARD
KHANDSE,Khandwala Securities Limited,INE060B01014,NSE,Unclassified,Unclassified,KHANDSE.NS,IN,NSE_MAINBOARD
KICL,Kalyani Investment Company Limited,INE029L01018,NSE,Unclassified,Unclassified,KICL.NS,IN,NSE_MAINBOARD
KILITCH,Kilitch Drugs (India) Limited,INE729D01010,NSE,Unclassified,Unclassified,KILITCH.NS,IN,NSE_MAINBOARD
KIMS,Krishna Institute of Medical Sciences Limited,INE967H01025,NSE,Unclassified,Unclassified,KIMS.NS,IN,NSE_MAINBOARD
KINGFA,Kingfa Science & Technology (India) Limited,INE473D01015,NSE,Unclassified,Unclassified,KINGFA.NS,IN,NSE_MAINBOARD
KIOCL,KIOCL Limited,INE880L01014,NSE,Unclassified,Unclassified,KIOCL.NS,IN,NSE_MAINBOARD
KIRANVYPAR,Kiran Vyapar Limited,INE555P01013,NSE,Unclassified,Unclassified,KIRANVYPAR.NS,IN,NSE_MAINBOARD
KIRIINDUS,Kiri Industries Limited,INE415I01015,NSE,Unclassified,Unclassified,KIRIINDUS.NS,IN,NSE_MAINBOARD
KIRLFER,Kirloskar Ferrous Industries Limited,INE884B01025,NSE,Unclassified,Unclassified,KIRLFER.NS,IN,NSE_MAINBOARD
KIRLOSBROS,Kirloskar Brothers Limited,INE732A01036,NSE,Unclassified,Unclassified,KIRLOSBROS.NS,IN,NSE_MAINBOARD
